scenario,scenario_display,sample_idx,target_region,target_region_idx,aggregate_type,method,mse,mae,crps,interval_score,ci_width,coverage
MI_1,MI Mild (μ=1.5),35,Inferior,1,Diseased Avg,Point Estimate,0.172307,0.412913,0.412913,,0.000000,
MI_1,MI Mild (μ=1.5),35,Inferior,1,Diseased Avg,MCMC,0.261292,,0.378543,4.640628,0.730202,0.000000
MI_1,MI Mild (μ=1.5),35,Inferior,1,Non-diseased Avg,Point Estimate,0.005099,0.048329,0.048329,,0.000000,
MI_1,MI Mild (μ=1.5),35,Inferior,1,Non-diseased Avg,MCMC,0.024704,,0.082410,0.703883,0.703883,1.000000
MI_1,MI Mild (μ=1.5),36,Inferior,1,Overall Avg,Point Estimate,0.045874,0.139332,0.139332,,0.000000,
MI_1,MI Mild (μ=1.5),36,Inferior,1,Overall Avg,MCMC,0.061490,,0.116277,0.788191,0.788191,1.000000
MI_1,MI Mild (μ=1.5),36,Inferior,1,Diseased Avg,Point Estimate,0.207606,0.455630,0.455630,,0.000000,
MI_1,MI Mild (μ=1.5),36,Inferior,1,Diseased Avg,MCMC,0.264209,,0.313605,1.440016,1.440016,1.000000
MI_1,MI Mild (μ=1.5),36,Inferior,1,Non-diseased Avg,Point Estimate,0.005440,0.060258,0.060258,,0.000000,
MI_1,MI Mild (μ=1.5),36,Inferior,1,Non-diseased Avg,MCMC,0.010810,,0.066946,0.625235,0.625235,1.000000
MI_1,MI Mild (μ=1.5),37,Inferior,1,Overall Avg,Point Estimate,0.003285,0.047527,0.047527,,0.000000,
MI_1,MI Mild (μ=1.5),37,Inferior,1,Overall Avg,MCMC,0.046005,,0.105536,0.794058,0.794058,1.000000
MI_1,MI Mild (μ=1.5),37,Inferior,1,Diseased Avg,Point Estimate,0.002511,0.037934,0.037934,,0.000000,
MI_1,MI Mild (μ=1.5),37,Inferior,1,Diseased Avg,MCMC,0.169323,,0.245994,1.303456,1.303456,1.000000
MI_1,MI Mild (μ=1.5),37,Inferior,1,Non-diseased Avg,Point Estimate,0.003479,0.049925,0.049925,,0.000000,
MI_1,MI Mild (μ=1.5),37,Inferior,1,Non-diseased Avg,MCMC,0.015176,,0.070422,0.666708,0.666708,1.000000
MI_1,MI Mild (μ=1.5),38,Inferior,1,Overall Avg,Point Estimate,0.022858,0.101983,0.101983,,0.000000,
MI_1,MI Mild (μ=1.5),38,Inferior,1,Overall Avg,MCMC,0.061591,,0.120458,0.818558,0.818558,1.000000
MI_1,MI Mild (μ=1.5),38,Inferior,1,Diseased Avg,Point Estimate,0.099730,0.315746,0.315746,,0.000000,
MI_1,MI Mild (μ=1.5),38,Inferior,1,Diseased Avg,MCMC,0.222341,,0.285308,1.335396,1.335396,1.000000
MI_1,MI Mild (μ=1.5),38,Inferior,1,Non-diseased Avg,Point Estimate,0.003640,0.048543,0.048543,,0.000000,
MI_1,MI Mild (μ=1.5),38,Inferior,1,Non-diseased Avg,MCMC,0.021403,,0.079245,0.689349,0.689349,1.000000
MI_1,MI Mild (μ=1.5),39,Inferior,1,Overall Avg,Point Estimate,0.011652,0.088327,0.088327,,0.000000,
MI_1,MI Mild (μ=1.5),39,Inferior,1,Overall Avg,MCMC,0.023610,,0.081937,0.837029,0.837029,1.000000
MI_1,MI Mild (μ=1.5),39,Inferior,1,Diseased Avg,Point Estimate,0.007275,0.084231,0.084231,,0.000000,
MI_1,MI Mild (μ=1.5),39,Inferior,1,Diseased Avg,MCMC,0.083189,,0.174802,1.491965,1.491965,1.000000
MI_1,MI Mild (μ=1.5),39,Inferior,1,Non-diseased Avg,Point Estimate,0.012746,0.089351,0.089351,,0.000000,
